id,name,percent,total
53033025102,251.02,1.000,5652
53033025200,252,0.910,6207
53033025301,253.01,0.914,5044
53033025302,253.02,0.773,2904
53033025400,254,0.925,4805
53033025500,255,0.909,3645
53033025601,256.01,0.944,3924
53033025602,256.02,0.993,4713
53033025701,257.01,0.913,3945
53033025702,257.02,0.986,2988
53033025803,258.03,0.919,3149
53033025804,258.04,0.929,2544
53033025805,258.05,0.955,3462
53033025806,258.06,0.986,3502
53033026001,260.01,0.976,4208
53033026002,260.02,0.884,5003
53033026100,261,0.900,4380
53033026200,262,0.911,3421
53033026300,263,0.958,1125
53033026400,264,0.902,3900
53033026500,265,0.777,2086
53033026600,266,0.977,1852
53033026700,267,0.969,3923
53033026801,268.01,0.818,3054
53033026802,268.02,0.905,3052
53033027000,270,0.944,2766
53033027100,271,0.876,2006
53033027200,272,0.939,1643
53033027300,273,0.897,3479
53033027400,274,0.945,3915
53033027500,275,0.913,3265
53033027600,276,0.880,2908
53033027701,277.01,0.912,4628
53033027702,277.02,0.990,4568
53033027800,278,0.943,2944
53033027900,279,0.917,5011
53033028000,280,0.831,2171
53033028100,281,0.881,1524
53033028200,282,0.911,2930
53033028300,283,0.957,4048
53033028402,284.02,0.853,2996
53033028403,284.03,0.910,3248
53033028500,285,0.929,3046
53033028600,286,0.877,5635
53033028700,287,0.974,4302
53033028801,288.01,0.891,1463
53033028802,288.02,0.896,3925
53033028901,289.01,0.962,3011
53033028902,289.02,0.872,4011
53033029001,290.01,0.946,3887
53033029003,290.03,0.903,3626
53033029004,290.04,0.883,1993
53033029101,291.01,0.975,2150
53033029102,291.02,0.987,3162
53033029203,292.03,0.801,1600
53033029204,292.04,0.963,4755
53033029205,292.05,0.954,3300
53033029206,292.06,0.775,2320
53033029303,293.03,0.953,5357
53033029304,293.04,0.979,4029
53033029305,293.05,0.987,2745
53033029306,293.06,0.971,2661
53033029307,293.07,0.983,3179
53033029403,294.03,0.959,4051
53033029405,294.05,0.984,4331
53033029406,294.06,0.973,3553
53033029407,294.07,0.894,2761
53033029408,294.08,0.930,2799
53033029502,295.02,0.984,4588
53033029503,295.03,0.852,4310
53033029504,295.04,0.874,3653
53033029601,296.01,0.926,4092
53033029602,296.02,1.000,4643
53033029700,297,0.828,4423
53033029801,298.01,0.969,6389
53033029802,298.02,0.972,6311
53033029901,299.01,0.992,3581
53033029902,299.02,0.985,3429
53033030003,300.03,0.985,4806
53033030004,300.04,0.817,4384
53033030005,300.05,0.953,3833
53033030006,300.06,0.747,2000
53033030100,301,0.960,6400
53033030201,302.01,0.959,4133
53033030202,302.02,0.881,4167
53033030304,303.04,0.951,2496
53033030305,303.05,0.993,4193
53033030306,303.06,0.984,4568
53033030308,303.08,0.970,4417
53033030309,303.09,0.964,4062
53033030310,303.1,0.896,3858
53033030311,303.11,0.989,3715
53033030312,303.12,0.907,3167
53033030313,303.13,0.906,2419
53033030314,303.14,0.799,2585
53033030401,304.01,0.980,6791
53033030403,304.03,0.988,3449
53033030404,304.04,0.994,3953
53033030501,305.01,0.678,996
53033030503,305.03,0.863,3212
53033030504,305.04,0.893,2829
53033030600,306,0.900,3581
53033030700,307,0.863,2347
53033030801,308.01,0.894,3905
53033030802,308.02,0.902,2473
53033030901,309.01,0.978,2641
53033030902,309.02,0.901,3760
53033031000,310,0.987,3320
53033031100,311,0.895,4371
53033031202,312.02,0.982,5606
53033031204,312.04,0.969,5921
53033031205,312.05,0.923,4421
53033031206,312.06,0.934,3328
53033031301,313.01,0.982,2441
53033031302,313.02,0.963,3233
53033031400,314,0.942,4352
53033031501,315.01,0.942,3603
53033031502,315.02,0.944,4068
53033031601,316.01,0.995,5221
53033031603,316.03,0.973,4408
53033031604,316.04,0.988,4058
53033031605,316.05,0.971,3182
53033031703,317.03,0.994,5537
53033031704,317.04,0.980,3955
53033031705,317.05,0.992,3187
53033031706,317.06,0.975,5450
53033031800,318,0.978,4370
53033031903,319.03,0.966,6105
53033031904,319.04,0.976,2938
53033031906,319.06,0.994,3228
53033031907,319.07,0.971,5895
53033031908,319.08,0.959,3114
53033031909,319.09,0.954,2416
53033032002,320.02,0.968,3123
53033032003,320.03,0.968,5156
53033032005,320.05,0.991,5370
53033032006,320.06,0.987,4373
53033032007,320.07,0.992,3276
53033032008,320.08,0.989,3495
53033032010,320.1,0.968,4275
53033032011,320.11,0.985,2944
53033032102,321.02,0.988,4360
53033032103,321.03,0.898,3189
53033032104,321.04,0.911,4649
53033032203,322.03,0.979,5948
53033032207,322.07,0.989,2847
53033032208,322.08,0.953,6516
53033032210,322.1,0.963,8238
